S_Moisture,T2M_MIN,WS10M_MIN,W_Level,PRECTOT,RES
27.70815120909379,18.03,2.64,0,14.213967772076519,0
27.70815120909379,18.02,2.91,0,14.213967772076519,0
27.70815120909379,18.8,2.29,0,14.213967772076519,0
27.70815120909379,19.88,1.64,0,14.213967772076519,0
27.70815120909379,22.46,1.11,0,14.213967772076519,0
27.70815120909379,19.49,0.6,0,14.213967772076519,0
27.70815120909379,20.05,2.12,0,14.213967772076519,0
27.70815120909379,19.9,1.23,0,14.213967772076519,0
27.70815120909379,22.0,1.27,0,14.213967772076519,0
27.70815120909379,22.94,0.8,0,14.213967772076519,0
27.70815120909379,23.42,2.12,0,14.213967772076519,0
27.70815120909379,24.42,0.6,0,14.213967772076519,0
27.70815120909379,22.11,2.04,0,14.213967772076519,0
27.70815120909379,20.65,2.33,0,14.213967772076519,0
27.70815120909379,18.69,2.32,0,14.213967772076519,0
27.70815120909379,18.88,2.2,0,14.213967772076519,0
27.70815120909379,21.22,2.67,0,14.213967772076519,0
27.70815120909379,20.84,2.26,0,14.213967772076519,0
27.70815120909379,19.79,1.9,0,14.213967772076519,0
27.70815120909379,20.49,2.07,0,14.213967772076519,0
27.70815120909379,20.6,2.74,0,14.213967772076519,0
27.70815120909379,20.3,3.05,0,14.213967772076519,0
27.70815120909379,20.96,2.92,0,14.213967772076519,0
27.70815120909379,22.31,2.07,0,14.213967772076519,0
27.70815120909379,23.07,3.36,0,14.213967772076519,0
27.70815120909379,20.45,2.35,0,14.213967772076519,0
27.70815120909379,20.98,2.16,0,14.213967772076519,0
27.70815120909379,20.87,1.19,0,14.213967772076519,0
27.70815120909379,22.77,0.86,0,14.213967772076519,0
27.70815120909379,24.11,0.35,0,14.213967772076519,0
27.70815120909379,27.72,0.47,0,14.213967772076519,0
27.70815120909379,26.14,2.91,0,14.213967772076519,0
27.70815120909379,21.29,2.75,0,14.213967772076519,0
27.70815120909379,23.09,2.45,0,14.213967772076519,0
